source,true_deg,true_label,orig_pred_deg,orig_confidence,corrected_pred,corrected_conf,corrected_is_0,orig_correct
AUDITED REPORT 2081 (1) (1)_page_0005.png,0,0,0,0.5976980328559875,0,0.5976980328559875,True,True
Audit Report (1)_page_0005.png,270,3,270,0.7165861129760742,0,0.8809754848480225,True,True
Audit Report NFRS Sample 1 (1)_page_0002.png,0,0,0,0.47503647208213806,0,0.47503647208213806,True,True
Audit Report NFRS Sample 1 (1)_page_0019.png,270,3,180,0.4024924635887146,180,0.45847055315971375,False,False
Audit Report NFRS Sample 1 (1)_page_0039.png,270,3,270,0.7232835292816162,0,0.8370071649551392,True,True
Audit Report NFRS Sample 2 (1) (1)_page_0006.png,180,2,180,0.4812869429588318,0,0.6028075814247131,True,True
Audit Report NFRS Sample 2 (1) (1)_page_0007.png,90,1,90,0.6457072496414185,0,0.7387745380401611,True,True
Audit Report NFRS Sample 2 (1) (1)_page_0008.png,270,3,270,0.6032783389091492,0,0.8501102328300476,True,True
Audit Report NFRS Sample 2 (1) (1)_page_0009.png,0,0,180,0.6046321392059326,180,0.7341944575309753,False,False
Audit Report NFRS Sample 2 (1) (1)_page_0009.png,90,1,90,0.6963681578636169,0,0.690457820892334,True,True
Audit Report NFRS Sample 2 (1) (1)_page_0009.png,180,2,0,0.6614689230918884,0,0.6614689230918884,True,False
Audit Report NFRS Sample 2 (1) (1)_page_0011.png,270,3,270,0.5669824481010437,0,0.9231806993484497,True,True
Provisional Report_page_0003.png,270,3,270,0.589877188205719,0,0.9025265574455261,True,True
Provisional Report_page_0007.png,270,3,270,0.5120088458061218,0,0.924537718296051,True,True
SAMPLE FINANCIALS 2080.81_page_0013.png,90,1,90,0.5896731615066528,0,0.8392018675804138,True,True
